Concurso;bola 1;bola 2;bola 3;bola 4;bola 5;bola 6;bola 7;bola 8;bola 9;bola 10;bola 11;bola 12;bola 13;bola 14;bola 15
1513;18;6;16;24;4;9;11;22;10;3;13;12;21;14;7
1512;3;21;22;16;17;15;13;12;19;2;6;4;24;10;11
1511;23;9;12;11;24;2;8;21;20;10;5;4;19;15;13
1510;15;3;7;11;13;12;18;24;10;4;8;9;22;1;19
1509;22;2;24;3;17;14;15;19;7;8;6;13;1;18;9
1508;7;23;3;22;14;9;24;11;19;10;8;17;1;21;12
1507;5;14;10;11;17;4;19;13;24;3;1;8;23;2;21
1506;3;13;5;8;22;10;19;9;14;17;24;4;21;18;20
1505;7;25;16;2;24;19;20;11;3;1;6;14;22;18;17
1504;11;25;24;21;18;19;23;7;8;17;1;12;14;5;4
1503;22;12;7;3;16;17;2;21;20;25;18;23;15;1;24
1502;4;18;22;3;17;13;15;11;24;2;12;5;20;7;1
1501;10;1;8;6;13;25;9;21;22;7;11;17;16;24;18
1500;3;13;2;22;7;15;20;5;10;1;17;11;18;12;19
1499;15;23;12;2;4;5;3;14;13;24;18;8;7;1;19
1498;16;25;14;17;7;23;10;5;15;18;11;4;21;8;24
1497;22;5;12;7;11;2;19;14;13;18;23;17;1;15;16
1496;7;13;9;25;23;17;3;10;2;19;6;20;15;11;12
1495;13;23;24;5;3;22;10;2;18;4;14;25;8;1;12
1494;2;9;13;11;3;20;19;4;25;15;10;22;12;17;1
1493;10;19;14;24;25;21;2;13;20;11;16;23;5;15;8
1492;15;3;5;25;8;4;19;18;12;10;16;24;7;17;2
1491;20;14;2;13;23;9;19;11;5;7;25;6;24;4;22
1490;5;22;19;4;20;15;11;9;18;7;3;1;14;8;13
1489;25;12;14;22;20;19;2;7;9;15;23;4;8;10;13
1488;19;23;21;11;25;24;10;6;20;5;12;1;4;13;16
1487;21;15;3;19;25;5;22;6;4;12;1;2;11;10;16
1486;22;9;8;18;14;12;2;21;25;4;5;10;23;20;19
1485;5;24;17;1;11;2;15;23;13;18;3;25;9;19;8
1484;17;2;6;18;22;7;21;19;3;25;4;1;9;12;10
1483;6;3;20;5;17;21;9;15;14;13;11;7;23;4;22
1482;12;23;7;2;9;8;11;24;1;4;15;10;19;5;14
